OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"2017-046B","BREEZE-M DEB (TANK)","42908","CIS","625.46","48.50","35147","551","LARGE","0","2017-08-16",""
"2017-046A","COSMOS 2520","42907","CIS","1436.11","0.03","35788","35785","SMALL","0","2017-08-16",""
"2017-044C","AVUM DEB (ADAPTOR)","42902","ESA","91.00","97.12","324","323","LARGE","0","2017-08-02",""
"2017-044C","AVUM DEB (ADAPTOR)","42902","ESA","91.01","97.12","324","324","LARGE","0","2017-08-02",""
"2017-044B","VENUS","42901","ISRA","99.25","98.24","725","721","LARGE","0","2017-08-02",""
"2017-044A","OPTSAT 3000","42900","IT","","","","","","0","2017-08-02","NO ELEMENTS AVAILABLE"
"2017-042CA","FLOCK 2K 06","42897","US","93.42","96.89","447","437","SMALL","0","2017-07-14",""
"2017-042BZ","FLOCK 2K 09","42896","US","93.35","96.89","444","433","SMALL","0","2017-07-14",""
"2017-042BY","FLOCK 2K 10","42895","US","93.42","96.89","448","436","SMALL","0","2017-07-14",""
"2017-042BX","FLOCK 2K 11","42894","US","93.42","96.89","448","436","SMALL","0","2017-07-14",""
"2017-042BW","FLOCK 2K 12","42893","US","93.42","96.89","448","436","SMALL","0","2017-07-14",""
"2017-042BV","FLOCK 2K 14","42892","US","93.31","96.89","442","431","SMALL","0","2017-07-14",""
"2017-042BU","FLOCK 2K 13","42891","US","93.23","96.89","438","427","SMALL","0","2017-07-14",""
"2017-042BT","FLOCK 2K 15","42890","US","93.42","96.89","448","436","SMALL","0","2017-07-14",""
"2017-042BS","FLOCK 2K 16","42889","US","93.42","96.89","448","436","SMALL","0","2017-07-14",""
"2017-042BR","FLOCK 2K 17","42888","US","93.29","96.89","441","430","SMALL","0","2017-07-14",""
"2017-042BQ","FLOCK 2K 18","42887","US","93.42","96.89","448","436","SMALL","0","2017-07-14",""
"2017-042BP","FLOCK 2K 19","42886","US","93.42","96.89","448","436","SMALL","0","2017-07-14",""
"2017-042BN","FLOCK 2K 20","42885","US","93.32","96.89","442","431","SMALL","0","2017-07-14",""
"2017-042BM","FLOCK 2K 25","42884","US","93.42","96.89","448","436","SMALL","0","2017-07-14",""
"2017-042BL","FLOCK 2K 26","42883","US","93.29","96.89","441","430","SMALL","0","2017-07-14",""
"2017-042BK","FLOCK 2K 27","42882","US","93.26","96.89","439","429","SMALL","0","2017-07-14",""
"2017-042BJ","LEMUR 2 ARTFISCHER","42881","US","93.44","96.89","449","436","SMALL","0","2017-07-14",""
"2017-042BH","FLOCK 2K 28","42880","US","93.60","96.89","457","444","SMALL","0","2017-07-14",""
"2017-042BG","FLOCK 2K 33","42879","US","93.15","96.89","434","424","SMALL","0","2017-07-14",""
"2017-042BF","FLOCK 2K 34","42878","US","93.33","96.89","443","432","SMALL","0","2017-07-14",""
"2017-042BE","FLOCK 2K 35","42877","US","93.42","96.89","448","436","SMALL","0","2017-07-14",""
"2017-042BD","FLOCK 2K 36","42876","US","93.28","96.89","441","430","SMALL","0","2017-07-14",""
"2017-042BC","FLOCK 2K 41","42875","US","93.42","96.89","448","436","SMALL","0","2017-07-14",""
"2017-042BB","FLOCK 2K 43","42874","US","93.69","96.89","462","448","SMALL","0","2017-07-14",""
"2017-042BA","FLOCK 2K 44","42873","US","93.42","96.89","447","436","SMALL","0","2017-07-14",""
"2017-042AZ","FLOCK 2K 30","42872","US","93.42","96.89","447","437","SMALL","0","2017-07-14",""
